@RELATION 2001-esa
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {True, False}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {True, False}
@DATA
NOUN, PROPN, False, 6, 9, 8, 12, 0.6666666666666666, 0.19999999999999996, 0.3764347732067108, 0.006566860072107945, 0.006566860072107945, 2.525179661461152e-05, False
NOUN, PROPN, False, 2, 4, 4, 12, 0.3333333333333333, 0.375, 0.455957293510437, 0.045413312993174144, 0.045413312993174144, 1.6981377484626137e-05, False
NOUN, NOUN, True, 6, 9, 8, 12, 0.6666666666666666, 0.19999999999999996, 0.3764347732067108, 0.006566860072107945, 0.006566860072107945, 1.0477329851710238e-05, False
NOUN, X, False, 0, 10, 1, 12, 0.08333333333333333, 0.0, 0.13400506973266602, 0, 0, 1.0348166142648552e-05, False
VERB, VERB, True, 3, 7, 7, 8, 0.875, 0.9333333333333333, 0.9224481582641602, 0.017544607887064433, 0.017544607887064433, 0.6291285157203674, True
VERB, VERB, True, 3, 5, 7, 8, 0.875, 0.2666666666666667, 0.5606075525283813, 0.028189977073785837, 0.028189977073785837, 0.052956487983465195, False
VERB, VERB, True, 3, 9, 8, 8, 1.0, 0.375, 0.5953537225723267, 0.005754512682777226, 0.005754512682777226, 0.04642724618315697, False
VERB, VERB, True, 3, 5, 9, 8, 1.125, 0.3529411764705882, 0.3148849606513977, 0.023425283912246356, 0.023425283912246356, 0.01973824016749859, False
VERB, VERB, True, 5, 9, 6, 8, 0.75, 0.1428571428571429, -0.2761434018611908, 0.012375801962030654, 0.012375801962030654, 0.015540875494480133, False
VERB, VERB, True, 5, 8, 6, 8, 0.75, 0.2857142857142857, 0.49003779888153076, 0.010643833990711194, 0.010643833990711194, 0.015420096926391125, False
VERB, VERB, True, 2, 6, 5, 8, 0.625, 0.3076923076923077, 0.5099398493766785, 0.013317414909606523, 0.013317414909606523, 0.013524312525987625, False
