@RELATION 2004-rlcs
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {True, False}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {True, False}
@DATA
NOUN, NOUN, True, 1, 1, 4, 6, 0.6666666666666666, 0.19999999999999996, 0.6737669110298157, 0.059783338539440393, 0.059783338539440393, 0.057933975011110306, True
NOUN, NOUN, True, 1, 1, 7, 6, 1.1666666666666667, 0.0, 0.4704979658126831, 0.02848370545547062, 0.02848370545547062, 0.05299847945570946, False
NOUN, NOUN, True, 3, 5, 4, 6, 0.6666666666666666, 0.19999999999999996, 0.6007351279258728, 0.01722790127106847, 0.01722790127106847, 0.0328315831720829, False
NOUN, NOUN, True, 5, 7, 8, 6, 1.3333333333333333, 0.2857142857142857, 0.4709317088127136, 0.028754685391507682, 0.028754685391507682, 0.023508403450250626, False
NOUN, NOUN, True, 5, 8, 4, 6, 0.6666666666666666, 0.4, 0.42441773414611816, 0.05618166976693977, 0.05618166976693977, 0.021914580836892128, False
NOUN, NOUN, True, 0, 0, 6, 6, 1.0, 0.16666666666666663, 0.6801939010620117, 0.061231916138984745, 0.061231916138984745, 0.02144148014485836, True
NOUN, NOUN, True, 7, 6, 7, 6, 1.1666666666666667, 0.3076923076923077, 0.3079041540622711, 0.04690018612627443, 0.04690018612627443, 0.01823641173541546, False
NOUN, NOUN, True, 9, 7, 7, 6, 1.1666666666666667, 0.3076923076923077, 0.5100789070129395, 0.11019635506552444, 0.11019635506552444, 0.01703003980219364, False
NOUN, NOUN, True, 8, 7, 5, 6, 0.8333333333333334, 0.0, 0.1926651895046234, 0.0171789844842617, 0.0171789844842617, 0.014800273813307285, False
NOUN, NOUN, True, 5, 8, 8, 6, 1.3333333333333333, 0.4285714285714286, 0.35533320903778076, 0.06163397982250386, 0.06163397982250386, 0.014295043423771858, False
NOUN, NOUN, True, 1, 1, 8, 6, 1.3333333333333333, 0.2857142857142857, 0.7389783263206482, 0.054148118366773336, 0.054148118366773336, 0.01391592063009739, True
NOUN, NOUN, True, 6, 6, 6, 6, 1.0, 0.33333333333333337, 0.4256831109523773, 0.03763428427126456, 0.03763428427126456, 0.013888847082853317, False
NOUN, NOUN, True, 6, 5, 9, 6, 1.5, 0.2666666666666667, 0.5963687896728516, 0.0312206557344468, 0.0312206557344468, 0.012953398749232292, False
NOUN, NOUN, True, 3, 5, 6, 6, 1.0, 0.5, 0.4832020103931427, 0.028734372402417368, 0.028734372402417368, 0.011806357651948929, False
NOUN, NOUN, True, 8, 9, 10, 6, 1.6666666666666667, 0.375, 0.5985338091850281, 0.02676246995719499, 0.02676246995719499, 0.011264008469879627, False
VERB, VERB, True, 0, 0, 3, 5, 0.6, 0.25, 0.5269517302513123, 0.047686318930773824, 0.047686318930773824, 0.2046871781349182, True
VERB, VERB, True, 2, 1, 6, 5, 1.2, 0.18181818181818177, 0.2750774025917053, 0.021323548304258238, 0.021323548304258238, 0.15924277901649475, False
VERB, VERB, True, 3, 2, 4, 5, 0.8, 0.0, 0.6787782907485962, 0.015230375960306073, 0.015230375960306073, 0.06372156739234924, True
VERB, VERB, True, 2, 1, 7, 5, 1.4, 0.16666666666666663, 0.583511471748352, 0.015365342165572657, 0.015365342165572657, 0.023119594901800156, True
VERB, ADJ, False, 7, 6, 4, 5, 0.8, 0.4444444444444444, 0.7183600664138794, 0.010157376134789902, 0.010157376134789902, 0.022128846496343613, False
VERB, VERB, True, 8, 6, 6, 5, 1.2, 0.18181818181818177, 0.7657392621040344, 0.011529038700225981, 0.011529038700225981, 0.01621532253921032, False
VERB, VERB, True, 8, 8, 3, 5, 0.6, 0.5, 0.6568892598152161, 0.010317576769620428, 0.010317576769620428, 0.014021833427250385, False
VERB, VERB, True, 3, 2, 4, 5, 0.8, 0.0, 0.6787782907485962, 0.015230375960306073, 0.015230375960306073, 0.012815196998417377, True
VERB, VERB, True, 5, 7, 4, 5, 0.8, 0.8888888888888888, 0.8074783086776733, 0.017386183883533773, 0.017386183883533773, 0.010644414462149143, True
VERB, VERB, True, 5, 8, 6, 5, 1.2, 0.36363636363636365, 0.10466784238815308, 0.019995937702304567, 0.019995937702304567, 0.009621371515095234, False
VERB, VERB, True, 2, 1, 3, 5, 0.6, 0.25, 0.5534865260124207, 0.016350847498603487, 0.016350847498603487, 0.0093435263261199, True
VERB, ADJ, False, 9, 8, 5, 5, 1.0, 0.19999999999999996, 0.7187832593917847, 0.028708814323101555, 0.028708814323101555, 0.009051622822880745, False
VERB, VERB, True, 5, 4, 5, 5, 1.0, 0.4, 0.36980384588241577, 0.011596810868421247, 0.011596810868421247, 0.00870906189084053, False
VERB, VERB, True, 7, 6, 7, 6, 1.1666666666666667, 0.15384615384615385, 0.29262781143188477, 0.011016713095330382, 0.011016713095330382, 0.11856701970100403, False
VERB, VERB, True, 6, 6, 6, 6, 1.0, 0.33333333333333337, 0.50217205286026, 0.01136818068071094, 0.01136818068071094, 0.05516529455780983, True
VERB, VERB, True, 5, 5, 8, 6, 1.3333333333333333, 0.2857142857142857, 0.47208237648010254, 0.014197712342652845, 0.014197712342652845, 0.05087113007903099, True
VERB, VERB, True, 2, 1, 5, 6, 0.8333333333333334, 0.18181818181818177, 0.4508877694606781, 0.015588571236399614, 0.015588571236399614, 0.049528054893016815, True
VERB, VERB, True, 2, 2, 7, 6, 1.1666666666666667, 0.6153846153846154, 0.5123220682144165, 0.018297134417845175, 0.018297134417845175, 0.04698340222239494, True
VERB, VERB, True, 8, 8, 9, 6, 1.5, 0.2666666666666667, 0.4007260501384735, 0.011683080136380357, 0.011683080136380357, 0.04519444331526756, False
VERB, VERB, True, 4, 6, 6, 6, 1.0, 0.16666666666666663, 0.3323226273059845, 0.01225063573450259, 0.01225063573450259, 0.034965381026268005, True
VERB, VERB, True, 6, 7, 6, 6, 1.0, 0.33333333333333337, 0.305939644575119, 0.017379655892114355, 0.017379655892114355, 0.03445104509592056, False
VERB, VERB, True, 3, 4, 7, 6, 1.1666666666666667, 0.46153846153846156, 0.2571471333503723, 0.014304635368991908, 0.014304635368991908, 0.033176809549331665, True
VERB, VERB, True, 7, 6, 5, 6, 0.8333333333333334, 0.36363636363636365, 0.43141481280326843, 0.013990997010117873, 0.013990997010117873, 0.03116176277399063, False
VERB, VERB, True, 2, 4, 6, 6, 1.0, 0.0, 0.4080628752708435, 0.02618484304771473, 0.02618484304771473, 0.027773845940828323, False
VERB, VERB, True, 7, 8, 6, 6, 1.0, 0.33333333333333337, 0.3628566265106201, 0.025293746843207277, 0.025293746843207277, 0.023846251890063286, True
VERB, VERB, True, 6, 7, 7, 6, 1.1666666666666667, 0.46153846153846156, 0.4644203186035156, 0.011732126565323747, 0.011732126565323747, 0.020145177841186523, False
VERB, VERB, True, 1, 1, 7, 6, 1.1666666666666667, 0.3076923076923077, 0.5319780707359314, 0.014994964004415965, 0.014994964004415965, 0.019538620486855507, True
VERB, VERB, True, 8, 8, 10, 6, 1.6666666666666667, 0.125, 0.34931784868240356, 0.012043611636588925, 0.012043611636588925, 0.01921890676021576, False
NOUN, NOUN, True, 4, 3, 11, 10, 1.1, 0.38095238095238093, 0.5014923214912415, 0.030282992502979996, 0.030282992502979996, 0.0552637055516243, False
NOUN, NOUN, True, 7, 9, 10, 10, 1.0, 1.0, 1.0, 0.017258967706303897, 0.017258967706303897, 0.049486882984638214, True
NOUN, NOUN, True, 3, 7, 6, 10, 0.6, 0.375, 0.3461812138557434, 0.014554933134519572, 0.014554933134519572, 0.049034763127565384, True
NOUN, NOUN, True, 4, 2, 4, 10, 0.4, 0.2857142857142857, 0.5567507743835449, 0.014817451980703998, 0.014817451980703998, 0.04577670246362686, False
NOUN, NOUN, True, 0, 1, 11, 10, 1.1, 0.5714285714285714, 0.3658478856086731, 0.028375612384410987, 0.028375612384410987, 0.01796361804008484, True
NOUN, NOUN, True, 3, 3, 6, 10, 0.6, 0.25, 0.5200031399726868, 0.012716079566136388, 0.012716079566136388, 0.017621463164687157, True
NOUN, NOUN, True, 7, 7, 9, 10, 0.9, 0.3157894736842105, 0.4041586220264435, 0.011990094507809843, 0.011990094507809843, 0.01338223833590746, False
NOUN, NOUN, True, 9, 9, 10, 10, 1.0, 0.30000000000000004, 0.2740696668624878, 0.006551569778857772, 0.006551569778857772, 0.012092024087905884, False
NOUN, NOUN, True, 4, 3, 8, 10, 0.8, 0.2222222222222222, 0.4701406955718994, 0.06375977859268966, 0.06375977859268966, 0.012053832411766052, True
NOUN, NOUN, True, 0, 0, 5, 10, 0.5, 0.1333333333333333, 0.01184237003326416, 0.0544909164688361, 0.0544909164688361, 0.01077060867100954, True
NOUN, NUM, False, 4, 0, 3, 10, 0.3, 0.3076923076923077, 0.43610531091690063, 0.020471965599928067, 0.020471965599928067, 0.01065134722739458, False
NOUN, ADV, False, 9, 9, 5, 10, 0.5, 0.1333333333333333, 0.45190027356147766, 0.011555105291637367, 0.011555105291637367, 0.008643869310617447, False
NOUN, NOUN, True, 4, 5, 8, 8, 1.0, 0.375, 0.39611321687698364, 0.018878597280971344, 0.018878597280971344, 0.07735984027385712, True
NOUN, NOUN, True, 4, 5, 10, 8, 1.25, 0.2222222222222222, 0.3951410949230194, 0.03338370362510777, 0.03338370362510777, 0.044812336564064026, False
NOUN, NOUN, True, 7, 8, 10, 8, 1.25, 0.33333333333333337, 0.28611117601394653, 0.021866178540813012, 0.021866178540813012, 0.01606585457921028, True
NOUN, NOUN, True, 1, 0, 4, 8, 0.5, 0.16666666666666663, 0.4745907783508301, 0.027278091532532103, 0.027278091532532103, 0.016060110181570053, True
NOUN, ADJ, False, 7, 6, 4, 8, 0.5, 0.33333333333333337, 0.3899022936820984, 0.00974759914708164, 0.00974759914708164, 0.0143476827070117, False
NOUN, NOUN, True, 1, 2, 7, 8, 0.875, 0.5333333333333333, 0.21903707087039948, 0.026220606197821, 0.026220606197821, 0.012324920855462551, False
NOUN, ADJ, False, 8, 9, 10, 8, 1.25, 0.2222222222222222, 0.4029596447944641, 0.03058023703786144, 0.03058023703786144, 0.01210425328463316, False
NOUN, NOUN, True, 7, 9, 10, 8, 1.25, 0.11111111111111116, 0.5434524416923523, 0.03265937424692456, 0.03265937424692456, 0.010941801592707634, False
NOUN, NOUN, True, 1, 6, 7, 8, 0.875, 0.1333333333333333, 0.3434326648712158, 0.018990273102496888, 0.018990273102496888, 0.010913808830082417, True
NOUN, NOUN, True, 7, 8, 9, 8, 1.125, 0.3529411764705882, 0.4766065776348114, 0.030753301545713384, 0.030753301545713384, 0.010109875351190567, False
NOUN, NOUN, True, 8, 9, 10, 8, 1.25, 0.4444444444444444, 0.3500758409500122, 0.02637987012934423, 0.02637987012934423, 0.009369941428303719, False
NOUN, NOUN, True, 0, 1, 11, 8, 1.375, 0.10526315789473684, 0.44236496090888977, 0.03536623594846247, 0.03536623594846247, 0.009111962281167507, True
NOUN, NOUN, True, 2, 4, 8, 8, 1.0, 0.375, 0.20230528712272644, 0.03722412738312064, 0.03722412738312064, 0.008713820017874241, True
NOUN, VERB, False, 3, 4, 7, 4, 1.75, 0.18181818181818177, 0.41129323840141296, 0.012874067575688698, 0.012874067575688698, 0.04154633730649948, False
NOUN, VERB, False, 5, 5, 5, 4, 1.25, 0.0, 0.443279504776001, 0.013848738487127449, 0.013848738487127449, 0.030213644728064537, False
NOUN, ADV, False, 8, 8, 11, 4, 2.75, 0.2666666666666667, 0.7389314770698547, 0.008975758257196471, 0.008975758257196471, 0.015525412745773792, False
NOUN, VERB, False, 2, 2, 3, 4, 0.75, 0.0, 0.6545107364654541, 0.020605792871170564, 0.020605792871170564, 0.013627834618091583, False
NOUN, VERB, False, 2, 2, 3, 4, 0.75, 0.0, 0.6545107364654541, 0.020605792871170564, 0.020605792871170564, 0.010084270499646664, False
NOUN, VERB, False, 3, 6, 7, 4, 1.75, 0.36363636363636365, 0.46918419003486633, 0.01129191569800214, 0.01129191569800214, 0.00849556177854538, True
NOUN, NOUN, True, 0, 1, 6, 8, 0.75, 0.2857142857142857, 0.5304155349731445, 0.0672441242547318, 0.0672441242547318, 0.03131333738565445, True
NOUN, NOUN, True, 5, 5, 5, 8, 0.625, 0.46153846153846156, 0.5123764276504517, 0.012367158783154465, 0.012367158783154465, 0.012327184900641441, False
NOUN, NOUN, True, 6, 9, 8, 8, 1.0, 0.25, 0.289784699678421, 0.015259769795968733, 0.015259769795968733, 0.009831439703702927, False
NOUN, NOUN, True, 6, 7, 4, 8, 0.5, 0.16666666666666663, 0.22163760662078857, 0.030594053312142325, 0.030594053312142325, 0.009129432961344719, True
NOUN, NOUN, True, 1, 1, 8, 8, 1.0, 0.25, 0.49244773387908936, 0.024971901424045106, 0.024971901424045106, 0.007286751177161932, True
NOUN, NOUN, True, 1, 2, 4, 8, 0.5, 0.16666666666666663, 0.506219744682312, 0.03956214620472541, 0.03956214620472541, 0.006732241250574589, True
NOUN, NOUN, True, 1, 1, 7, 8, 0.875, 0.5333333333333333, 0.6555285453796387, 0.03384459996143157, 0.03384459996143157, 0.006523024290800095, True
NOUN, NOUN, True, 0, 1, 8, 8, 1.0, 1.0, 1.0, 0.06731009627594525, 0.06731009627594525, 0.03750805929303169, True
