@RELATION 2003-qheadache
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {True, False}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {True, False}
@DATA
VERB, VERB, True, 1, 5, 6, 9, 0.6666666666666666, 0.8, 0.6839220523834229, 0.012573787921015768, 0.012573787921015768, 0.4993543028831482, True
VERB, VERB, True, 6, 9, 6, 9, 0.6666666666666666, 0.2666666666666667, 0.6323685646057129, 0.006052756964741984, 0.006052756964741984, 0.07161270827054977, False
VERB, ADJ, False, 7, 8, 8, 9, 0.8888888888888888, 0.23529411764705888, 0.4181286692619324, 0.005735248400738464, 0.005735248400738464, 0.03818921744823456, False
VERB, ADJ, False, 7, 9, 10, 9, 1.1111111111111112, 0.3157894736842105, 0.2766406834125519, 0.007978438020273676, 0.007978438020273676, 0.022946737706661224, False
VERB, ADJ, False, 5, 8, 9, 9, 1.0, 0.11111111111111116, 0.5408869981765747, 0.006393430999234374, 0.006393430999234374, 0.014566844329237938, False
VERB, ADJ, False, 4, 8, 4, 9, 0.4444444444444444, 0.15384615384615385, 0.7555305361747742, 0.01120830383106488, 0.01120830383106488, 0.013466413132846355, False
VERB, VERB, True, 3, 4, 7, 9, 0.7777777777777778, 0.125, 0.4836319088935852, 0.0168658493637401, 0.0168658493637401, 0.013302900828421116, True
VERB, VERB, True, 2, 5, 6, 9, 0.6666666666666666, 0.1333333333333333, 0.830951988697052, 0.013998184571195298, 0.013998184571195298, 0.010760818608105183, False
VERB, ADJ, False, 3, 9, 5, 9, 0.5555555555555556, 0.2857142857142857, 0.5787916779518127, 0.005051977385689186, 0.005051977385689186, 0.00684321578592062, False
VERB, ADJ, False, 4, 8, 7, 9, 0.7777777777777778, 0.125, 0.45292067527770996, 0.007601982250715561, 0.007601982250715561, 0.006428035907447338, False
VERB, ADJ, False, 3, 6, 8, 9, 0.8888888888888888, 0.23529411764705888, 0.7066424489021301, 0.009776694937907391, 0.009776694937907391, 0.006287663709372282, False
VERB, ADJ, False, 6, 8, 6, 9, 0.6666666666666666, 0.1333333333333333, 0.6740827560424805, 0.011380491942993221, 0.011380491942993221, 0.00617575366050005, False
NOUN, NOUN, True, 4, 2, 9, 4, 2.25, 0.3076923076923077, 0.4751098155975342, 0.08654078005186625, 0.08654078005186625, 0.21457767486572266, True
NOUN, NOUN, True, 1, 1, 5, 4, 1.25, 0.6666666666666667, 0.301605224609375, 0.07913378536945312, 0.07913378536945312, 0.11498996615409851, True
NOUN, NOUN, True, 6, 5, 8, 4, 2.0, 0.33333333333333337, 0.541070818901062, 0.05959721258262473, 0.05959721258262473, 0.09833595901727676, False
NOUN, NOUN, True, 6, 7, 9, 4, 2.25, 0.3076923076923077, 0.4416952431201935, 0.04243362787966262, 0.04243362787966262, 0.07115296274423599, False
NOUN, NOUN, True, 2, 2, 11, 4, 2.75, 0.2666666666666667, 0.8329989314079285, 0.030650709955270153, 0.030650709955270153, 0.06598521023988724, False
NOUN, NOUN, True, 2, 2, 4, 4, 1.0, 0.0, 0.635486364364624, 0.06174028077882187, 0.06174028077882187, 0.05464234575629234, True
NOUN, NOUN, True, 4, 7, 6, 4, 1.5, 0.6, 0.5738505125045776, 0.0191636461941348, 0.0191636461941348, 0.04781477898359299, False
NOUN, NOUN, True, 0, 8, 5, 4, 1.25, 0.4444444444444444, 0.3582117259502411, 0.014416366456020915, 0.014416366456020915, 0.0208993311971426, False
NOUN, NOUN, True, 7, 8, 5, 4, 1.25, 0.4444444444444444, 0.49658533930778503, 0.0497423396106285, 0.0497423396106285, 0.01996210590004921, False
NOUN, NOUN, True, 2, 3, 5, 4, 1.25, 0.2222222222222222, 0.6601079702377319, 0.048349345383947175, 0.048349345383947175, 0.018280144780874252, False
NOUN, NOUN, True, 5, 9, 9, 4, 2.25, 0.3076923076923077, 0.5399510860443115, 0.015459729399675269, 0.015459729399675269, 0.014775560237467289, False
NOUN, NOUN, True, 3, 6, 7, 4, 1.75, 0.18181818181818177, 0.5256778001785278, 0.030997061637507275, 0.030997061637507275, 0.011982399970293045, False
NOUN, NOUN, True, 7, 9, 11, 4, 2.75, 0.2666666666666667, 0.6136062145233154, 0.012100178004094131, 0.012100178004094131, 0.007922451011836529, False
NOUN, NOUN, True, 0, 3, 6, 4, 1.5, 0.0, 0.6215353012084961, 0.019779776653009142, 0.019779776653009142, 0.007801670581102371, True
NOUN, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.30750903487205505, 0, 0, 0.007380100432783365, False
VERB, VERB, True, 4, 8, 5, 5, 1.0, 0.19999999999999996, 0.40440425276756287, 0.011880821922665695, 0.011880821922665695, 0.1954507976770401, False
VERB, VERB, True, 7, 7, 4, 5, 0.8, 0.4444444444444444, 0.45875057578086853, 0.01471308982907495, 0.01471308982907495, 0.08833962678909302, False
VERB, VERB, True, 7, 9, 6, 5, 1.2, 0.36363636363636365, 0.31757354736328125, 0.12708379016290894, 0.12708379016290894, 0.055501073598861694, False
VERB, VERB, True, 6, 9, 4, 5, 0.8, 0.0, 0.4583144783973694, 0.009334277002598089, 0.009334277002598089, 0.04533461108803749, False
VERB, VERB, True, 4, 6, 5, 5, 1.0, 0.4, 0.3063724935054779, 0.022565629423174537, 0.022565629423174537, 0.04161212965846062, False
VERB, VERB, True, 5, 6, 5, 5, 1.0, 0.19999999999999996, 0.41670435667037964, 0.013329668851844795, 0.013329668851844795, 0.034337423741817474, False
VERB, VERB, True, 5, 8, 11, 5, 2.2, 0.25, 0.10362648963928223, 0.01233300151968517, 0.01233300151968517, 0.024524221196770668, False
VERB, VERB, True, 7, 9, 3, 5, 0.6, 0.0, 0.7150094509124756, 0.010808784662417427, 0.010808784662417427, 0.02353164739906788, True
VERB, VERB, True, 8, 9, 4, 5, 0.8, 0.4444444444444444, 0.33616265654563904, 0.01732409725446038, 0.01732409725446038, 0.0201719980686903, False
VERB, VERB, True, 7, 10, 7, 5, 1.4, 0.33333333333333337, 0.5087846517562866, 0, 0, 0.01849329099059105, False
VERB, VERB, True, 9, 10, 8, 5, 1.6, 0.15384615384615385, 0.021739903837442398, 0, 0, 0.018224576488137245, False
VERB, VERB, True, 8, 10, 4, 5, 0.8, 0.0, 0.49741190671920776, 0, 0, 0.017983555793762207, False
VERB, VERB, True, 5, 7, 3, 5, 0.6, 0.5, 0.3457585275173187, 0.008521192251122838, 0.008521192251122838, 0.016947820782661438, False
VERB, VERB, True, 4, 2, 4, 5, 0.8, 0.8888888888888888, 0.8395525813102722, 0.1231268458807699, 0.1231268458807699, 0.016628772020339966, True
VERB, VERB, True, 3, 6, 5, 5, 1.0, 0.19999999999999996, 0.5345789790153503, 0.011860678482117675, 0.011860678482117675, 0.01598479598760605, False
NOUN, NOUN, True, 3, 2, 7, 4, 1.75, 0.18181818181818177, 0.46315211057662964, 0.03723549838028728, 0.03723549838028728, 0.0480804406106472, False
NOUN, NOUN, True, 0, 0, 6, 4, 1.5, 0.19999999999999996, 0.6144682168960571, 0.1048585764052669, 0.1048585764052669, 0.03194708749651909, False
NOUN, NOUN, True, 2, 1, 7, 4, 1.75, 0.0, 0.4455806314945221, 0.0377058522201539, 0.0377058522201539, 0.031396713107824326, False
NOUN, NOUN, True, 7, 8, 9, 4, 2.25, 0.3076923076923077, 0.6666846871376038, 0.009821645911598176, 0.009821645911598176, 0.02885124832391739, False
NOUN, NOUN, True, 4, 2, 6, 4, 1.5, 0.19999999999999996, 0.4969754219055176, 0.06202870030699775, 0.06202870030699775, 0.02828363887965679, False
NOUN, NOUN, True, 1, 1, 3, 4, 0.75, 0.2857142857142857, 0.4641125798225403, 0.025593655004230036, 0.025593655004230036, 0.026717595756053925, True
NOUN, NOUN, True, 0, 8, 5, 4, 1.25, 0.2222222222222222, 0.6248998045921326, 0.0178575578959498, 0.0178575578959498, 0.02555428259074688, True
NOUN, NOUN, True, 3, 5, 5, 4, 1.25, 0.2222222222222222, 0.5867499709129333, 0.01282314808701666, 0.01282314808701666, 0.02542959153652191, False
NOUN, NOUN, True, 2, 2, 4, 4, 1.0, 1.0, 1.0000001192092896, 0.06174028077882187, 0.06174028077882187, 0.02215537056326866, True
NOUN, NOUN, True, 5, 9, 8, 4, 2.0, 0.16666666666666663, 0.7056995630264282, 0.008999914492918756, 0.008999914492918756, 0.020931361243128777, False
NOUN, NOUN, True, 0, 8, 5, 4, 1.25, 0.4444444444444444, 0.4138873219490051, 0.014416366456020915, 0.014416366456020915, 0.020561229437589645, False
NOUN, NOUN, True, 2, 5, 4, 4, 1.0, 0.25, 0.7062293887138367, 0.018351473484697824, 0.018351473484697824, 0.018326468765735626, False
NOUN, NOUN, True, 2, 6, 4, 4, 1.0, 0.25, 0.5790676474571228, 0.054360350686962475, 0.054360350686962475, 0.013784482143819332, False
NOUN, NOUN, True, 2, 1, 8, 4, 2.0, 0.16666666666666663, 0.6057654619216919, 0.04571336912896307, 0.04571336912896307, 0.013767317868769169, False
VERB, VERB, True, 0, 0, 3, 4, 0.75, 0.8571428571428572, 0.9456779956817627, 0.07855529688845687, 0.07855529688845687, 0.18160614371299744, True
VERB, VERB, True, 8, 8, 4, 4, 1.0, 0.75, 0.5565719604492188, 0.011577874185461443, 0.011577874185461443, 0.0370146818459034, False
VERB, VERB, True, 2, 4, 3, 4, 0.75, 0.5714285714285714, 0.6685561537742615, 0.023086337105269385, 0.023086337105269385, 0.025713687762618065, False
VERB, VERB, True, 9, 9, 6, 4, 1.5, 0.0, 0.5271862149238586, 0.014084750931347229, 0.014084750931347229, 0.016505390405654907, False
VERB, VERB, True, 9, 9, 6, 4, 1.5, 0.19999999999999996, 0.3584250509738922, 0.006838704356805529, 0.006838704356805529, 0.014705097302794456, False
VERB, VERB, True, 4, 3, 6, 4, 1.5, 0.19999999999999996, 0.6321463584899902, 0.021255814176424335, 0.021255814176424335, 0.011947807855904102, True
VERB, VERB, True, 6, 6, 5, 4, 1.25, 0.0, 0.6536856889724731, 0.018798601551417975, 0.018798601551417975, 0.0099795488640666, True
VERB, VERB, True, 5, 8, 5, 4, 1.25, 0.2222222222222222, 0.5239836573600769, 0.009286449972594814, 0.009286449972594814, 0.009497556835412979, False
