@RELATION 0000-cctns
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {True, False}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {True, False}
@DATA
VERB, VERB, True, 1, 1, 4, 9, 0.4444444444444444, 0.0, 0.71495121717453, 0.01697026471592489, 0.01697026471592489, 0.11424200981855392, True
VERB, ADV, False, 8, 8, 4, 9, 0.4444444444444444, 0.15384615384615385, 0.7275722622871399, 0.008924352494608158, 0.008924352494608158, 0.08318927884101868, False
VERB, DET, False, 4, 0, 3, 9, 0.3333333333333333, 0.0, 0.587346613407135, 0.051571216907703644, 0.051571216907703644, 0.06826432794332504, False
VERB, VERB, True, 1, 1, 4, 9, 0.4444444444444444, 0.0, 0.71495121717453, 0.01697026471592489, 0.01697026471592489, 0.059386737644672394, True
VERB, NUM, False, 6, 1, 3, 9, 0.3333333333333333, 0.16666666666666663, 0.5920464992523193, 0.01677052948029579, 0.01677052948029579, 0.04977056384086609, False
VERB, ADP, False, 6, 2, 3, 9, 0.3333333333333333, 0.16666666666666663, 0.7808647155761719, 0.013778645281099578, 0.013778645281099578, 0.035526905208826065, False
VERB, DET, False, 8, 9, 2, 9, 0.2222222222222222, 0.18181818181818177, 0.6184964776039124, 0.009600815677045276, 0.009600815677045276, 0.027744239196181297, False
VERB, DET, False, 6, 7, 3, 9, 0.3333333333333333, 0.0, 0.6691233515739441, 0.009917955656268978, 0.009917955656268978, 0.0230381041765213, False
VERB, ADV, False, 9, 9, 4, 9, 0.4444444444444444, 0.15384615384615385, 0.5946035981178284, 0.004099439609135884, 0.004099439609135884, 0.02152981422841549, False
VERB, PART, False, 9, 6, 2, 9, 0.2222222222222222, 0.18181818181818177, 0.6886663436889648, 0.010436041184907664, 0.010436041184907664, 0.016333812847733498, False
VERB, NUM, False, 7, 3, 5, 9, 0.5555555555555556, 0.1428571428571429, 0.569574236869812, 0.014563343596067788, 0.014563343596067788, 0.015868866816163063, False
VERB, NUM, False, 8, 7, 4, 9, 0.4444444444444444, 0.15384615384615385, 0.5581060647964478, 0.013186839969886134, 0.013186839969886134, 0.015138251706957817, False
VERB, VERB, True, 4, 6, 3, 9, 0.3333333333333333, 0.16666666666666663, 0.5937384963035583, 0.010607539505150582, 0.010607539505150582, 0.012823926284909248, True
VERB, NUM, False, 8, 5, 4, 9, 0.4444444444444444, 0.15384615384615385, 0.5495439767837524, 0.014118274957786262, 0.014118274957786262, 0.010564525611698627, False
VERB, ADV, False, 8, 5, 4, 9, 0.4444444444444444, 0.0, 0.6625577211380005, 0.012143171904700068, 0.012143171904700068, 0.010385156609117985, False
NOUN, NOUN, True, 3, 3, 5, 5, 1.0, 1.0, 1.0, 0.06506615850141145, 0.06506615850141145, 0.9926637411117554, True
NOUN, NOUN, True, 3, 3, 5, 5, 1.0, 1.0, 1.0, 0.06506615850141145, 0.06506615850141145, 0.0014991569332778454, True
NOUN, NOUN, True, 7, 9, 5, 5, 1.0, 0.0, 0.6594250202178955, 0.042692951027013065, 0.042692951027013065, 0.0003080574970226735, False
NOUN, NOUN, True, 3, 3, 7, 5, 1.4, 0.16666666666666663, 0.4230549931526184, 0.038807249762163924, 0.038807249762163924, 0.0002595418191049248, True
NOUN, NOUN, True, 1, 3, 4, 5, 0.8, 0.2222222222222222, 0.4503883123397827, 0.03251007760707293, 0.03251007760707293, 0.0002448048908263445, True
NOUN, NOUN, True, 8, 9, 7, 5, 1.4, 0.16666666666666663, 0.7174614071846008, 0.011812192279586116, 0.011812192279586116, 0.0002208978112321347, False
NOUN, NOUN, True, 8, 9, 4, 5, 0.8, 0.2222222222222222, 0.19953911006450653, 0.01913728269906462, 0.01913728269906462, 0.0001776152494130656, False
NOUN, ADJ, False, 6, 9, 7, 5, 1.4, 0.33333333333333337, 0.7349197268486023, 0.010476881687679117, 0.010476881687679117, 0.00012376952508930117, False
NOUN, NOUN, True, 8, 9, 10, 5, 2.0, 0.4, 0.5928887724876404, 0.012063892770095074, 0.012063892770095074, 0.00012167288514319807, False
NOUN, ADJ, False, 8, 8, 4, 5, 0.8, 0.0, 0.337917298078537, 0.028091315302141182, 0.028091315302141182, 9.127768862526864e-05, False
NOUN, NOUN, True, 0, 1, 5, 5, 1.0, 0.0, 0.15486980974674225, 0.05758148963258467, 0.05758148963258467, 8.876295760273933e-05, True
NOUN, NOUN, True, 6, 8, 7, 5, 1.4, 0.16666666666666663, 0.5288674235343933, 0.017627885919275436, 0.017627885919275436, 7.849335815990344e-05, False
NOUN, NOUN, True, 4, 5, 7, 5, 1.4, 0.33333333333333337, 0.5838367342948914, 0.01316267801197515, 0.01316267801197515, 7.132440077839419e-05, False
NOUN, NOUN, True, 1, 2, 7, 5, 1.4, 0.33333333333333337, 0.4381833076477051, 0.019596374233714582, 0.019596374233714582, 6.319099338725209e-05, False
NOUN, ADJ, False, 9, 9, 9, 5, 1.8, 0.2857142857142857, 0.661601722240448, 0.013848158552754229, 0.013848158552754229, 5.5762615374987945e-05, False
NOUN, NOUN, True, 3, 3, 7, 8, 0.875, 0.9333333333333333, 0.8489957451820374, 0.038807249762163924, 0.038807249762163924, 0.9069109559059143, True
NOUN, NOUN, True, 0, 0, 11, 8, 1.375, 0.21052631578947367, 0.7080599069595337, 0.04240273455964954, 0.04240273455964954, 0.008475999347865582, False
NOUN, NOUN, True, 8, 9, 7, 8, 0.875, 0.2666666666666667, 0.6764107942581177, 0.009594478114094095, 0.009594478114094095, 0.0031609428115189075, False
NOUN, NOUN, True, 1, 3, 13, 8, 1.625, 0.19047619047619047, 0.5911211967468262, 0.039634896403221355, 0.039634896403221355, 0.0021194685250520706, False
