@RELATION 2004-e-procurement
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {True, False}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {True, False}
@DATA
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.1201576292514801, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.11481606215238571, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.07654279470443726, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.04407883435487747, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.02379498817026615, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.021450821310281754, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.019384488463401794, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.01763932779431343, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.016132865101099014, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.015307902358472347, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.01498960331082344, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.014211319386959076, False
VERB, X, False, 0, 10, 1, 4, 0.25, 0.0, 0.4305735230445862, 0, 0, 0.013914881274104118, False
NOUN, NOUN, True, 2, 3, 6, 8, 0.75, 0.1428571428571429, 0.5742384791374207, 0.017996022796083037, 0.017996022796083037, 0.037868790328502655, True
NOUN, NOUN, True, 3, 9, 4, 8, 0.5, 0.16666666666666663, 0.3949487805366516, 0.011256929509191603, 0.011256929509191603, 0.03128153830766678, False
NOUN, NOUN, True, 1, 2, 8, 8, 1.0, 0.25, 0.6048775911331177, 0.028894144073785006, 0.028894144073785006, 0.02090497501194477, True
NOUN, NOUN, True, 4, 1, 4, 8, 0.5, 0.16666666666666663, 0.3745025396347046, 0.02079591146203255, 0.02079591146203255, 0.015048747882246971, False
NOUN, NOUN, True, 6, 5, 3, 8, 0.375, 0.18181818181818177, 0.30567649006843567, 0.02105165481269428, 0.02105165481269428, 0.014951594173908234, False
NOUN, NOUN, True, 2, 6, 4, 8, 0.5, 0.16666666666666663, 0.3770444095134735, 0.023755974469911022, 0.023755974469911022, 0.013448186218738556, False
NOUN, NOUN, True, 3, 2, 4, 8, 0.5, 0.16666666666666663, 0.47774839401245117, 0.015879603726373048, 0.015879603726373048, 0.013218400999903679, False
NOUN, NOUN, True, 4, 4, 6, 8, 0.75, 0.4285714285714286, 0.5738385319709778, 0.01276517977166096, 0.01276517977166096, 0.012051151134073734, True
NOUN, NOUN, True, 7, 7, 6, 8, 0.75, 0.7142857142857143, 0.38506099581718445, 0.008180700086827947, 0.008180700086827947, 0.010853336192667484, True
NOUN, NOUN, True, 3, 3, 4, 8, 0.5, 0.33333333333333337, 0.5005744099617004, 0.016988656206821565, 0.016988656206821565, 0.010592802427709103, False
NOUN, NOUN, True, 1, 1, 4, 8, 0.5, 0.16666666666666663, 0.3309708833694458, 0.01677310847766235, 0.01677310847766235, 0.010486820712685585, True
NOUN, NOUN, True, 2, 6, 9, 8, 1.125, 0.3529411764705882, 0.5468796491622925, 0.009145327178138428, 0.009145327178138428, 0.010117501951754093, True
NOUN, NOUN, True, 1, 1, 4, 8, 0.5, 0.16666666666666663, 0.6130067110061646, 0.048730720438573544, 0.048730720438573544, 0.009854698553681374, True
NOUN, NOUN, True, 8, 9, 7, 8, 0.875, 0.2666666666666667, 0.45956355333328247, 0.01123237059125354, 0.01123237059125354, 0.009625863283872604, False
NOUN, NOUN, True, 6, 7, 8, 8, 1.0, 0.75, 0.5051404237747192, 0.012601706069359881, 0.012601706069359881, 0.0096009261906147, False
NOUN, NOUN, True, 5, 6, 4, 8, 0.5, 0.16666666666666663, 0.6154335737228394, 0.012541241217323182, 0.012541241217323182, 0.03566436842083931, False
NOUN, NOUN, True, 1, 3, 4, 8, 0.5, 0.16666666666666663, 0.5728263854980469, 0.018325859189978057, 0.018325859189978057, 0.02582465298473835, False
NOUN, NOUN, True, 2, 7, 4, 8, 0.5, 0.33333333333333337, 0.8161251544952393, 0.016937006559518738, 0.016937006559518738, 0.0232588741928339, False
NOUN, NOUN, True, 0, 0, 6, 8, 0.75, 0.1428571428571429, 0.5065166354179382, 0.030533731113682596, 0.030533731113682596, 0.02091212384402752, True
NOUN, NOUN, True, 3, 6, 5, 8, 0.625, 0.15384615384615385, 0.29319989681243896, 0.030498989362769856, 0.030498989362769856, 0.017053058370947838, False
NOUN, NOUN, True, 4, 7, 7, 8, 0.875, 0.2666666666666667, 0.734108567237854, 0.011464858660910147, 0.011464858660910147, 0.016658978536725044, False
NOUN, NOUN, True, 4, 6, 13, 8, 1.625, 0.19047619047619047, 0.5647832751274109, 0.022474657912904678, 0.022474657912904678, 0.016129229217767715, True
NOUN, NOUN, True, 4, 3, 7, 8, 0.875, 0.2666666666666667, 0.5014520883560181, 0.02666683855379673, 0.02666683855379673, 0.014832197688519955, False
NOUN, NOUN, True, 0, 0, 6, 8, 0.75, 0.4285714285714286, 0.4426712989807129, 0.038381105215682595, 0.038381105215682595, 0.01482156477868557, True
NOUN, NOUN, True, 1, 5, 4, 8, 0.5, 0.16666666666666663, 0.5876765251159668, 0.03151987036024124, 0.03151987036024124, 0.0139356330037117, True
NOUN, NOUN, True, 1, 2, 8, 8, 1.0, 0.125, 0.4769035577774048, 0.020993301578299203, 0.020993301578299203, 0.01360283512622118, True
NOUN, NOUN, True, 4, 6, 7, 8, 0.875, 0.2666666666666667, 0.568343997001648, 0.032009697179184206, 0.032009697179184206, 0.013023835606873035, True
NOUN, NOUN, True, 3, 3, 4, 8, 0.5, 0.16666666666666663, 0.5571048259735107, 0.015139021307302415, 0.015139021307302415, 0.012990938499569893, True
NOUN, NOUN, True, 7, 8, 10, 8, 1.25, 0.5555555555555556, 0.4082484841346741, 0.027844180161260224, 0.027844180161260224, 0.01283070258796215, False
VERB, VERB, True, 2, 3, 4, 4, 1.0, 1.0, 0.9999999403953552, 0.010126422476744914, 0.010126422476744914, 0.49124783277511597, True
VERB, VERB, True, 1, 2, 7, 4, 1.75, 0.36363636363636365, 0.8267695903778076, 0.013881627212599742, 0.013881627212599742, 0.005256941542029381, True
VERB, VERB, True, 2, 4, 7, 4, 1.75, 0.36363636363636365, 0.5471404790878296, 0.03977774448917371, 0.03977774448917371, 0.0020117422100156546, False
VERB, VERB, True, 9, 7, 5, 4, 1.25, 0.4444444444444444, 0.41347044706344604, 0.025268681632467888, 0.025268681632467888, 0.001726306276395917, False
VERB, VERB, True, 7, 8, 4, 4, 1.0, 0.0, 0.7900766730308533, 0.00952187979815726, 0.00952187979815726, 0.0010786240454763174, True
VERB, VERB, True, 7, 6, 8, 4, 2.0, 0.33333333333333337, 0.8551039695739746, 0.007274884971536147, 0.007274884971536147, 0.0010163094848394394, True
VERB, VERB, True, 8, 7, 4, 4, 1.0, 0.0, 0.8239967226982117, 0.010487493278420535, 0.010487493278420535, 0.000996201764792204, False
VERB, VERB, True, 6, 6, 6, 4, 1.5, 0.19999999999999996, 0.7798052430152893, 0.010513143517413358, 0.010513143517413358, 0.0007994651678018272, False
VERB, VERB, True, 5, 8, 3, 4, 0.75, 0.0, 0.7905819416046143, 0.014070733808875859, 0.014070733808875859, 0.0007760337321087718, True
VERB, VERB, True, 2, 3, 4, 4, 1.0, 1.0, 0.9999999403953552, 0.010126422476744914, 0.010126422476744914, 0.0005002815159969032, True
VERB, VERB, True, 8, 9, 6, 4, 1.5, 0.4, 0.6909918785095215, 0.011905938934875297, 0.011905938934875297, 0.0004057365586049855, False
VERB, VERB, True, 8, 9, 4, 4, 1.0, 0.25, 0.891189694404602, 0.0076864436888606546, 0.0076864436888606546, 0.0003572218702174723, True
VERB, VERB, True, 3, 3, 5, 6, 0.8333333333333334, 0.36363636363636365, 0.4591933786869049, 0.015375602119490921, 0.015375602119490921, 0.18326926231384277, False
VERB, ADJ, False, 8, 9, 4, 6, 0.6666666666666666, 0.4, 0.27772241830825806, 0.014342154609047595, 0.014342154609047595, 0.18000102043151855, False
VERB, VERB, True, 6, 6, 4, 6, 0.6666666666666666, 0.4, 0.5519911646842957, 0.008541882959533889, 0.008541882959533889, 0.0622425340116024, False
VERB, VERB, True, 0, 0, 3, 6, 0.5, 0.4444444444444444, 0.5209680199623108, 0.04153939781289547, 0.04153939781289547, 0.03917180374264717, True
VERB, ADJ, False, 7, 9, 9, 6, 1.5, 0.2666666666666667, 0.3333459496498108, 0.009285473392266229, 0.009285473392266229, 0.03649382293224335, False
VERB, VERB, True, 8, 9, 9, 6, 1.5, 0.2666666666666667, 0.3308298885822296, 0.008997045814299597, 0.008997045814299597, 0.02841564640402794, False
VERB, VERB, True, 5, 8, 6, 6, 1.0, 0.33333333333333337, 0.5034167170524597, 0.010076900529574214, 0.010076900529574214, 0.026803720742464066, False
VERB, VERB, True, 5, 6, 5, 6, 0.8333333333333334, 0.18181818181818177, 0.4565657377243042, 0.015064184857886635, 0.015064184857886635, 0.025939470157027245, True
VERB, VERB, True, 3, 4, 6, 6, 1.0, 0.16666666666666663, 0.3357876241207123, 0.01186338580053493, 0.01186338580053493, 0.014843938872218132, False
VERB, ADJ, False, 8, 9, 7, 6, 1.1666666666666667, 0.3076923076923077, 0.4975518584251404, 0.01249220225209237, 0.01249220225209237, 0.01457846350967884, False
VERB, ADJ, False, 9, 8, 4, 6, 0.6666666666666666, 0.19999999999999996, 0.265580952167511, 0.0425161861020789, 0.0425161861020789, 0.014191660098731518, False
VERB, ADJ, False, 9, 9, 7, 6, 1.1666666666666667, 0.3076923076923077, 0.3446761667728424, 0.00848875619820414, 0.00848875619820414, 0.014025546610355377, False
VERB, ADJ, False, 5, 7, 9, 6, 1.5, 0.4, 0.30886805057525635, 0.015144163433831374, 0.015144163433831374, 0.013396423310041428, False
VERB, ADJ, False, 3, 9, 4, 6, 0.6666666666666666, 0.0, 0.617847740650177, 0.011256929509191603, 0.011256929509191603, 0.012412088923156261, False
VERB, ADJ, False, 9, 9, 8, 6, 1.3333333333333333, 0.4285714285714286, 0.13784776628017426, 0.007387166625115579, 0.007387166625115579, 0.01154947467148304, False
NOUN, NOUN, True, 6, 9, 8, 12, 0.6666666666666666, 0.5, 0.5182667970657349, 0.033817210868267625, 0.033817210868267625, 0.05495432764291763, False
NOUN, NOUN, True, 2, 3, 6, 12, 0.5, 0.2222222222222222, 0.6520479917526245, 0.017996022796083037, 0.017996022796083037, 0.05280190706253052, True
NOUN, NOUN, True, 3, 9, 4, 12, 0.3333333333333333, 0.125, 0.21258695423603058, 0.011256929509191603, 0.011256929509191603, 0.05074607953429222, False
